URN,Local Authority name,Establisment name,Easting,Northing,Type of Establishment,Phase of education,NO2 g/m3 mean,Above limit,Parliamentary Constituences,Establishment Status,Close Date
136263,Barnet,The Holmewood School London,525774,192586,Other Independent Special School,Not applicable,29.6,No,Chipping Barnet,Open,
100177,Greenwich,St Thomas A Becket Roman Catholic Primary School,546166,179075,Voluntary Aided School,Primary,29.6,No,Erith and Thamesmead,Open,
101223,Barking and Dagenham,Village Infants' School,549383,184397,Community School,Primary,29.6,No,Dagenham and Rainham,Open,
101234,Barking and Dagenham,William Ford CofE Primary School,549383,184397,Voluntary Aided School,Primary,29.6,No,Dagenham and Rainham,Open,
103015,Sutton,Homefield Preparatory School,525194,164148,Other Independent School,Not applicable,29.6,No,Sutton and Cheam,Open,
130430,Bromley,Bromley College of Further and Higher Education,541685,167255,Further Education,16 Plus,29.6,No,Beckenham,Open,
102556,Hounslow,Lindon Bennett School,511658,171082,Community Special School,Not applicable,29.6,No,Feltham and Heston,Open,
102188,Harrow,Camrose Primary With Nursery,518642,190777,Community School,Primary,29.6,No,Harrow East,Open,
141163,Greenwich,Woolwich Polytechnic School,546432,180397,Academy Converter,Secondary,29.6,No,Erith and Thamesmead,Open,
131657,Enfield,West Grove Primary School,529794,194765,Community School,Primary,29.6,No,"Enfield, Southgate",Open,
137368,Bexley,Hurstmere School,547061,173167,Academy Converter,Secondary,29.6,No,Old Bexley and Sidcup,Open,
102038,Enfield,St George's RC Primary School,532834,197346,Voluntary Aided School,Primary,29.6,No,Enfield North,Open,
100352,Croydon,St Peter's Primary School,533097,163788,Community School,Primary,29.5,No,Hammersmith,Open,
102642,Bexley,Pelham Primary School,549396,175545,Academy Converter,Primary,29.5,No,Wimbledon,Open,
102197,Harrow,Stag Lane Junior School,519231,190411,Community School,Primary,29.5,No,Harrow East,Open,
102903,Richmond upon Thames,Collis Primary School,516542,170589,Community School,Primary,29.5,No,Twickenham,Open,
133316,Harrow,Woodlands School,518666,190936,Community Special School,Not applicable,29.5,No,Harrow East,Open,
101239,Barking and Dagenham,St Vincent's Catholic Primary School,547206,186684,Voluntary Aided School,Primary,29.5,No,Barking,Open,
101434,Bexley,Dulverton Primary School,544704,172874,Community School,Primary,29.5,No,Old Bexley and Sidcup,Open,
102957,Sutton,The Limes College,525311,164378,Pupil Referral Unit,Not applicable,29.5,No,Sutton and Cheam,Open,
135469,Harrow,Harrow Collegiate,514664,190200,Sixth Form Centres,Not applicable,29.5,No,Harrow East,Open,
