URN,Local Authority name,Establisment name,Easting,Northing,Type of Establishment,Phase of education,NO2 g/m3 mean,Above limit,Parliamentary Constituences,Establishment Status,Close Date
133545,Hammersmith and Fulham,William Morris Sixth Form,523862,178222,Community School,16 Plus,41.5,Yes,Hammersmith,Open,
100084,Camden,Fine Arts College,527535,184578,Other Independent School,Not applicable,41.5,Yes,Hampstead and Kilburn,Open,
100716,Lewisham,Ashmead Primary School,537241,176322,Community School,Primary,41.5,Yes,"Lewisham, Deptford",Open,
130243,Islington,The Children's House Upper School,533221,185096,Other Independent School,Not applicable,41.5,Yes,Islington North,Open,
138196,Newham,School 21,539083,184063,Free Schools,All Through,41.5,Yes,West Ham,Open,
141095,Tower Hamlets,East London Arts & Music,539083,184063,Free Schools - 16-19,Secondary,41.5,Yes,Poplar and Limehouse,Open,
100908,Tower Hamlets,Elizabeth Selby Infants' School,534427,182833,Community School,Primary,41.5,Yes,Bethnal Green and Bow,Open,
137994,Brent,Convent of Jesus and Mary Language College,521701,183616,Academy Converter,Secondary,41.5,Yes,Brent Central,Open,
101106,Westminster,Mary Paterson Nursery School,524829,182547,LA Nursery School,Nursery,41.5,Yes,Westminster North,Open,
130429,Brent,The College of North West London,521914,185110,Further Education,16 Plus,41.5,Yes,Brent Central,Open,
133444,Ealing,Ealing Independent College,517498,180597,Other Independent School,Not applicable,41.5,Yes,Ealing Central and Acton,Open,
140908,Lambeth,Kennington Park Academy,531571,177681,Academy Alternative Provision Converter,Not applicable,41.4,Yes,Vauxhall,Open,
100248,Hackney,Woodberry Down Community Primary School,532393,187810,Community School,Primary,41.4,Yes,Hackney North and Stoke Newington,Open,
100369,Hammersmith and Fulham,The Godolphin and Latymer School,522972,178861,Other Independent School,Not applicable,41.4,Yes,Hammersmith,Open,
100900,Tower Hamlets,Cyril Jackson Primary School,536813,180888,Community School,Primary,41.4,Yes,Poplar and Limehouse,Open,
100090,Camden,Southbank International School,526368,184950,Other Independent School,Not applicable,41.4,Yes,Hampstead and Kilburn,Open,
100435,Islington,Hungerford Primary School and Children's Centre,529995,184974,Community School,Primary,41.4,Yes,Islington South and Finsbury,Open,
100270,Hackney,St John of Jerusalem Church of England Primary School,535320,184155,Voluntary Aided School,Primary,41.4,Yes,Hackney South and Shoreditch,Open,
100403,Islington,Duncombe Primary School,530146,187006,Community School,Primary,41.4,Yes,Islington North,Open,
100203,Lewisham,Heath House Preparatory School,539675,176150,Other Independent School,Not applicable,41.4,Yes,Lewisham East,Open,
137441,Lewisham,Tidemill Academy,537350,177243,Academy Converter,Primary,41.4,Yes,"Lewisham, Deptford",Open,
102163,Haringey,Highgate School,528337,187571,Other Independent School,Not applicable,41.4,Yes,Hornsey and Wood Green,Open,
102043,Enfield,Edmonton County School,533832,194710,Community School,All Through,41.3,Yes,Edmonton,Closed,8/31/2016
100045,Camden,St Patrick's Catholic Primary School,528861,185010,Voluntary Aided School,Primary,41.3,Yes,Holborn and St Pancras,Open,
100499,Kensington and Chelsea,Saint Mary RC Primary School,524221,182203,Voluntary Aided School,Primary,41.3,Yes,Kensington,Open,
100901,Tower Hamlets,The Clara Grant Primary School,537486,182177,Community School,Primary,41.3,Yes,Poplar and Limehouse,Open,
139365,Hammersmith and Fulham,Fulham Cross Girls' School and Language College,524106,177335,Academy Converter,Secondary,41.3,Yes,Chelsea and Fulham,Open,
101125,Westminster,St Augustine's CofE Primary School,525528,183286,Voluntary Aided School,Primary,41.3,Yes,Westminster North,Open,
141605,Islington,The Bridge Integrated Learning Space,530002,184977,Free Schools Special,Not applicable,41.3,Yes,Islington South and Finsbury,Open,
100212,Hackney,Wentworth Nursery School and Children's Centre,535916,184524,LA Nursery School,Nursery,41.3,Yes,Hackney South and Shoreditch,Open,
102702,Newham,Rebecca Cheetham Nursery Education Centre,539454,183758,LA Nursery School,Nursery,41.3,Yes,West Ham,Open,
139699,Ealing,Ark Priory Primary Academy,520416,179858,Academy Sponsor Led,Primary,41.3,Yes,Ealing Central and Acton,Open,
138842,Southwark,Goose Green Primary School,533707,175360,Academy Converter,Primary,41.3,Yes,Dulwich and West Norwood,Open,
100077,Camden,The Village School,527781,184808,Other Independent School,Not applicable,41.3,Yes,Holborn and St Pancras,Open,
140496,Merton,Jus'T'Learn,527958,168869,Other Independent School,Not applicable,41.3,Yes,Mitcham and Morden,Open,
101120,Westminster,Queen's Park Primary School,524394,182467,Community School,Primary,41.2,Yes,Westminster North,Open,
100047,Camden,St Eugene de Mazenod Roman Catholic Primary School,525360,183998,Voluntary Aided School,Primary,41.2,Yes,Hampstead and Kilburn,Open,
100213,Hackney,Comet Nursery School and Children's Centre,533227,183661,LA Nursery School,Nursery,41.2,Yes,Hackney South and Shoreditch,Open,
101154,Westminster,St Augustine's CofE High School,525469,183256,Voluntary Aided School,Secondary,41.2,Yes,Westminster North,Open,
100798,Southwark,John Ruskin Primary School and Language Classes,532224,177728,Community School,Primary,41.2,Yes,Camberwell and Peckham,Open,
100236,Hackney,Randal Cremer Primary School,533638,183358,Community School,Primary,41.2,Yes,Hackney South and Shoreditch,Open,
131318,Southwark,Surrey Square Primary School,533192,178386,Foundation School,Primary,41.2,Yes,Bermondsey and Old Southwark,Open,
100316,Hammersmith and Fulham,Vanessa Nursery School,522645,179588,LA Nursery School,Nursery,41.2,Yes,Hammersmith,Open,
130451,Newham,Newham College of Further Education,542627,183429,Further Education,16 Plus,41.2,Yes,East Ham,Open,
131141,Hackney,Hoxton Garden Primary,533197,183412,Community School,Primary,41.2,Yes,Hackney South and Shoreditch,Open,
100255,Hackney,Baden-Powell School,534738,186059,Community School,Primary,41.2,Yes,Hackney North and Stoke Newington,Open,
101156,Westminster,Arnold House School,526561,183245,Other Independent School,Not applicable,41.2,Yes,Westminster North,Open,
100046,Camden,St Paul's Church of England Primary School,527498,184129,Voluntary Aided School,Primary,41.2,Yes,Hampstead and Kilburn,Open,
140811,Hammersmith and Fulham,Earl's Court Free School Primary,522891,178876,Free Schools,Primary,41.2,Yes,Hammersmith,Open,
102162,Haringey,Channing School,528715,187337,Other Independent School,Not applicable,41.2,Yes,Hornsey and Wood Green,Open,
101072,Wandsworth,Putney High School,523900,174602,Other Independent School,Not applicable,41.2,Yes,Putney,Open,
130407,Hackney,Hackney Community College,533326,183062,Further Education,16 Plus,41.1,Yes,Hackney South and Shoreditch,Closed,8/1/2016
136740,Hounslow,PPP Community School,518783,178064,Other Independent Special School,Not applicable,41.1,Yes,Kensington,Open,
136750,Hammersmith and Fulham,West London Free School,522894,178875,Free Schools,Secondary,41.1,Yes,Hammersmith,Open,
139837,Camden,Abacus Belsize Primary School,529656,183804,Free Schools,Primary,41.1,Yes,Holborn and St Pancras,Open,
100853,Southwark,St Joseph's Catholic Junior School,532109,177303,Voluntary Aided School,Primary,41.1,Yes,Camberwell and Peckham,Open,
100854,Southwark,St Joseph's Catholic Infants School,532109,177303,Voluntary Aided School,Primary,41.1,Yes,Camberwell and Peckham,Open,
100478,Kensington and Chelsea,Barlby Primary School,523831,181997,Community School,Primary,41.1,Yes,Kensington,Open,
138241,Hackney,Lubavitch Junior Boys,533813,187713,Voluntary Aided School,Primary,41.1,Yes,Hackney North and Stoke Newington,Open,
135794,Ealing,North West London Independent Special School,521766,180547,Other Independent Special School,Not applicable,41.1,Yes,Ealing Central and Acton,Open,
100645,Lambeth,Rosemead Preparatory School,532233,172849,Other Independent School,Not applicable,41.1,Yes,Dulwich and West Norwood,Open,
135175,Hammersmith and Fulham,Parayhouse School,524737,176318,Non-Maintained Special School,Not applicable,41,Yes,Hammersmith,Open,
131388,Tower Hamlets,Jamiatul Ummah School,534817,181092,Other Independent School,Not applicable,41,Yes,Poplar and Limehouse,Open,
100230,Hackney,London Fields Primary School,534642,183828,Community School,Primary,41,Yes,Hackney South and Shoreditch,Open,
142256,Hammersmith and Fulham,Thomas's Academy,524737,176318,Academy Converter,Primary,41,Yes,Chelsea and Fulham,Open,
101042,Wandsworth,St Boniface RC Primary School,527651,171395,Voluntary Aided School,Primary,41,Yes,Tooting,Open,
137361,Barnet,Whitefield School,523520,187587,Academy Converter,Secondary,41,Yes,Finchley and Golders Green,Open,
140212,Kensington and Chelsea,Kensington Aldridge Academy,523920,180986,Academy Sponsor Led,Secondary,40.9,Yes,Kensington,Open,
130912,Westminster,Paddington Academy,525518,182268,Academy Sponsor Led,Secondary,40.9,Yes,Westminster North,Open,
100785,Southwark,Crawford Primary School,532360,176513,Community School,Primary,40.9,Yes,Camberwell and Peckham,Open,
100023,Camden,Torriano Primary School,529559,185072,Community School,Primary,40.9,Yes,Holborn and St Pancras,Open,
131740,Islington,Rotherfield Primary School,532543,183917,Community School,Primary,40.9,Yes,Islington South and Finsbury,Open,
101887,Ealing,Hambrough Primary School,512655,180075,Community School,Primary,40.9,Yes,"Ealing, Southall",Open,
131752,Hammersmith and Fulham,Ark Burlington Danes Academy,522925,181489,Academy Sponsor Led,All Through,40.9,Yes,Hammersmith,Open,
135260,Southwark,Southwark Inclusive Learning Service (Sils),533743,177638,Pupil Referral Unit,Not applicable,40.9,Yes,Camberwell and Peckham,Open,
100382,Hammersmith and Fulham,Cambridge School,522474,180669,Community Special School,Not applicable,40.9,Yes,Hammersmith,Open,
100439,Islington,St John's Upper Holloway CofE Primary School,529508,186512,Voluntary Aided School,Primary,40.9,Yes,Islington North,Open,
134815,Lambeth,Lambeth Academy,529241,174795,Academy Sponsor Led,Secondary,40.9,Yes,Streatham,Open,
100728,Lewisham,St John Baptist Southend Church of England Primary School,538325,171872,Voluntary Aided School,Primary,40.9,Yes,Lewisham East,Open,
100627,Lambeth,Saint Gabriel's College,531908,176914,Voluntary Aided School,Secondary,40.8,Yes,Vauxhall,Open,
100534,Kensington and Chelsea,Thomas's Kensington,525872,179320,Other Independent School,Not applicable,40.8,Yes,Kensington,Open,
100271,Hackney,"St Mary's Church of England Primary School, Stoke Newington",533081,186564,Voluntary Aided School,Primary,40.8,Yes,Hackney North and Stoke Newington,Open,
135587,Islington,City of London Academy Islington,532038,183639,Academy Sponsor Led,Secondary,40.8,Yes,Islington South and Finsbury,Open,
133385,Brent,The School of the Islamic Republic of Iran,525204,183057,Other Independent School,Not applicable,40.8,Yes,Hampstead and Kilburn,Open,
100740,Lewisham,Deptford Green School,536445,177315,Community School,Secondary,40.8,Yes,"Lewisham, Deptford",Open,
100754,Lewisham,St Dunstan's College,537093,173490,Other Independent School,Not applicable,40.8,Yes,Lewisham East,Open,
135316,Wandsworth,Ashcroft Technology Academy,524639,174575,Academy Sponsor Led,Secondary,40.8,Yes,Putney,Open,
102699,Merton,Cricket Green School,527454,168561,Community Special School,Not applicable,40.8,Yes,Mitcham and Morden,Open,
101954,Ealing,Notting Hill and Ealing High School,516928,181632,Other Independent School,Not applicable,40.8,Yes,Ealing Central and Acton,Open,
139786,Greenwich,"University Technical College, Royal Borough of Greenwich",542041,179040,University Technical College,Secondary,40.7,Yes,Greenwich and Woolwich,Closed,8/31/2016
100324,Hammersmith and Fulham,Brackenbury Primary School,522760,179365,Community School,Primary,40.7,Yes,Hammersmith,Open,
100531,Kensington and Chelsea,Pembridge Hall School,525458,180723,Other Independent School,Not applicable,40.7,Yes,Kensington,Open,
100243,Hackney,Thomas Fairchild Community School,532494,183307,Community School,Primary,40.7,Yes,Hackney South and Shoreditch,Open,
100803,Southwark,Michael Faraday School,532828,177988,Community School,Primary,40.7,Yes,Camberwell and Peckham,Open,
131747,Southwark,Harris Academy Bermondsey,534017,178910,Academy Sponsor Led,Secondary,40.7,Yes,Bermondsey and Old Southwark,Open,
100033,Camden,"Holy Trinity and Saint Silas CofE Primary School, NW1",528675,184432,Voluntary Aided School,Primary,40.7,Yes,Holborn and St Pancras,Open,
101025,Wandsworth,Wix Primary School,528515,175503,Community School,Primary,40.7,Yes,Battersea,"Open, but proposed to close",5/31/2017
132237,Wandsworth,Thames Christian College,526851,175902,Other Independent School,Not applicable,40.7,Yes,Battersea,Open,
100381,Hammersmith and Fulham,Jack Tizard School,522684,180419,Community Special School,Not applicable,40.7,Yes,Hammersmith,Open,
100061,Camden,St Christopher's School,526978,185153,Other Independent School,Not applicable,40.7,Yes,Hampstead and Kilburn,Open,
100338,Hammersmith and Fulham,Sir John Lillie Primary School,524416,177532,Community School,Primary,40.7,Yes,Chelsea and Fulham,Open,
131340,Lambeth,Hill Mead Primary School,531580,175364,Community School,Primary,40.7,Yes,Dulwich and West Norwood,Open,
134010,Hammersmith and Fulham,Parsons Green Prep School,524569,176402,Other Independent School,Not applicable,40.7,Yes,Chelsea and Fulham,Open,
131595,Haringey,Lordship Lane Primary School,532029,190582,Community School,Primary,40.7,Yes,Hornsey and Wood Green,Open,
100030,Camden,Emmanuel Church of England Primary School,525336,185264,Voluntary Aided School,Primary,40.7,Yes,Hampstead and Kilburn,Open,
101299,Barnet,Tudor Primary School,526318,190626,Community School,Primary,40.7,Yes,Finchley and Golders Green,Open,
101107,Westminster,Barrow Hill Junior School,527092,183132,Community School,Primary,40.6,Yes,Westminster North,Open,
100654,Lambeth,Lansdowne School,530681,175912,Community Special School,Not applicable,40.6,Yes,Vauxhall,Open,
100053,Camden,Acland Burghley School,528962,185931,Community School,Secondary,40.6,Yes,Holborn and St Pancras,Open,
100678,Lewisham,Deptford Park Primary School,536327,178410,Community School,Primary,40.6,Yes,"Lewisham, Deptford",Open,
100074,Camden,North Bridge House Senior School,526640,185531,Other Independent School,Not applicable,40.6,Yes,Hampstead and Kilburn,Open,
100171,Greenwich,Saint Mary Magdalene Church of England Primary School,543204,178925,Voluntary Aided School,Primary,40.6,Yes,Greenwich and Woolwich,Open,
133365,Barnet,Beis Yaakov Primary School,520792,189548,Voluntary Aided School,Primary,40.6,Yes,Brent North,Open,
137567,Croydon,Croydon Metropolitan College,532415,164747,Other Independent School,Not applicable,40.6,Yes,Croydon Central,Open,
100175,Barking and Dagenham,St Peter's Catholic Primary School,548838,183622,Voluntary Aided School,Primary,40.6,Yes,Greenwich and Woolwich,Open,
139440,Wandsworth,Rechere's Academy,527309,171158,Other Independent School,Not applicable,40.5,Yes,Tooting,Closed,2/22/2016
100934,Tower Hamlets,Osmani Primary School,534348,182017,Community School,Primary,40.5,Yes,Bethnal Green and Bow,Open,
131325,Islington,Newington Green Primary School,532981,185349,Community School,Primary,40.5,Yes,Islington North,Open,
134222,Southwark,City of London Academy (Southwark),534379,178443,Academy Sponsor Led,Secondary,40.5,Yes,Bermondsey and Old Southwark,Open,
100930,Tower Hamlets,Thomas Buxton Primary School,534355,182089,Community School,Primary,40.5,Yes,Bethnal Green and Bow,Open,
100992,Wandsworth,Somerset Nursery School and Children's Centre,526857,176810,LA Nursery School,Nursery,40.5,Yes,Battersea,Open,
100566,Lambeth,Heathbrook Primary School,529067,176207,Community School,Primary,40.5,Yes,Vauxhall,Open,
101542,Brent,St Mary Magdalen Catholic Junior School,522931,184693,Voluntary Aided School,Primary,40.5,Yes,Brent Central,Open,
100550,Lambeth,Triangle Nursery School,529788,175189,LA Nursery School,Nursery,40.5,Yes,Vauxhall,Open,
135091,Newham,London Christian Learning Centre,541914,185448,Other Independent School,Not applicable,40.5,Yes,East Ham,Open,
134507,Lambeth,The Orchard School,530737,173392,Voluntary Aided School,Primary,40.5,Yes,Streatham,Open,
102785,Newham,Sarah Bonnell School,539346,184654,Community School,Secondary,40.5,Yes,West Ham,Open,
102638,Merton,Merton Abbey Primary School,525912,169823,Community School,Primary,40.5,Yes,Wimbledon,Open,
102080,Haringey,Bounds Green Junior School,530010,191371,Community School,Primary,40.5,Yes,Hornsey and Wood Green,Open,
102081,Haringey,Bounds Green Infant School,530010,191371,Community School,Primary,40.5,Yes,Hornsey and Wood Green,Open,
140686,Camden,Kings Cross Academy,529927,183752,Academy Sponsor Led,Primary,40.5,Yes,Holborn and St Pancras,Open,
100422,Islington,Robert Blair Primary School,530342,184544,Community School,Primary,40.4,Yes,Islington South and Finsbury,Open,
100357,Hammersmith and Fulham,St Thomas of Canterbury Catholic Primary School,524581,177345,Voluntary Aided School,Primary,40.4,Yes,Chelsea and Fulham,Open,
100610,Lambeth,Christ Church Primary SW9,531482,176949,Voluntary Aided School,Primary,40.4,Yes,Vauxhall,Open,
100873,Southwark,Spa School,534252,178747,Community Special School,Not applicable,40.4,Yes,Bermondsey and Old Southwark,Open,
100907,Tower Hamlets,Lawdale Junior School,534502,182835,Community School,Primary,40.4,Yes,Bethnal Green and Bow,Open,
137789,Tower Hamlets,Bethnal Green Academy,534008,182708,Academy Converter,Secondary,40.4,Yes,Bethnal Green and Bow,Open,
100235,Hackney,Queensbridge Primary School,533825,184027,Community School,Primary,40.4,Yes,Hackney South and Shoreditch,Open,
100174,Greenwich,St Alfege with St Peter's Church of England Primary School,538127,177732,Voluntary Aided School,Primary,40.4,Yes,Greenwich and Woolwich,Open,
100685,Lewisham,Grinling Gibbons Primary School,536930,177681,Community School,Primary,40.4,Yes,"Lewisham, Deptford",Open,
131584,Haringey,Haringey Tuition Centre,533690,190223,Pupil Referral Unit,Not applicable,40.4,Yes,Tottenham,Open,
101090,Wandsworth,Al-Risalah,527762,171982,Other Independent School,Not applicable,40.4,Yes,Tooting,Open,
101578,Brent,The Swaminarayan School,520760,184703,Other Independent School,Not applicable,40.4,Yes,Brent Central,Open,
130856,Lewisham,Abbey Manor College,540762,174817,Pupil Referral Unit,Not applicable,40.4,Yes,Eltham,Open,
100838,Southwark,"St Paul's Church of England Primary School, Walworth",532078,178089,Voluntary Aided School,Primary,40.3,Yes,Bermondsey and Old Southwark,Open,
101135,Westminster,St Mary Magdalene CofE Primary School,525683,181957,Voluntary Aided School,Primary,40.3,Yes,Westminster North,Open,
100604,Lambeth,Herbert Morrison Primary School,530243,177187,Community School,Primary,40.3,Yes,Vauxhall,Open,
101111,Westminster,Essendine Primary School,525311,182561,Community School,Primary,40.3,Yes,Westminster North,Open,
132797,Tower Hamlets,London Islamic School,534943,181482,Other Independent School,Not applicable,40.3,Yes,Bethnal Green and Bow,Open,
139364,Hammersmith and Fulham,Fulham College Boys' School,524042,176935,Academy Converter,Secondary,40.3,Yes,Chelsea and Fulham,Open,
140968,Haringey,Tottenham UTC,533908,191298,University Technical College,Secondary,40.3,Yes,Tottenham,Open,
100794,Southwark,Hollydale Primary School,535369,176100,Community School,Primary,40.3,Yes,Camberwell and Peckham,Open,
100903,Tower Hamlets,Hague Primary School,534743,182456,Community School,Primary,40.3,Yes,Bethnal Green and Bow,Open,
100667,Lewisham,Clyde Early Childhood Centre,536620,177982,LA Nursery School,Nursery,40.3,Yes,"Lewisham, Deptford",Open,
100355,Hammersmith and Fulham,St John XXIII Catholic Primary School,522736,180735,Voluntary Aided School,Primary,40.3,Yes,Hammersmith,Open,
141315,Greenwich,Pulse and Water College,543530,178812,Other Independent School,Not applicable,40.3,Yes,Greenwich and Woolwich,Open,
134808,Wandsworth,Oliver House Preparatory School,528558,174235,Other Independent School,Not applicable,40.3,Yes,Battersea,Open,
101544,Brent,Convent of Jesus and Mary RC Infant School,523022,184716,Voluntary Aided School,Primary,40.3,Yes,Brent Central,Open,
101946,Ealing,St Augustine's Priory,518547,181918,Other Independent School,Not applicable,40.3,Yes,Ealing Central and Acton,Open,
138599,Camden,La Petite Ecole Bilingue,528155,185326,Other Independent School,Not applicable,40.2,Yes,Kensington,Open,
100897,Tower Hamlets,Columbia Primary School,533972,182914,Community School,Primary,40.2,Yes,Bethnal Green and Bow,Open,
100972,Tower Hamlets,Oaklands School,534550,182928,Community School,Secondary,40.2,Yes,Bethnal Green and Bow,Open,
101492,Brent,Granville Plus Nursery School,525081,183081,LA Nursery School,Nursery,40.2,Yes,Hampstead and Kilburn,Open,
100827,Southwark,St George's Church of England Primary School,533123,177455,Voluntary Aided School,Primary,40.2,Yes,Camberwell and Peckham,Open,
100837,Southwark,Peter Hills with St Mary's and St Paul's CofE Primary School,535947,180402,Voluntary Aided School,Primary,40.2,Yes,Bermondsey and Old Southwark,Open,
100946,Tower Hamlets,The Stepney Greencoat Church of England Primary School,536632,181305,Voluntary Aided School,Primary,40.2,Yes,Poplar and Limehouse,Open,
102777,Newham,Rokeby School,539951,181893,Community School,Secondary,40.2,Yes,West Ham,Open,
100092,Camden,Camden Centre for Learning (CCfL) Special School,528612,184451,Community Special School,Not applicable,40.2,Yes,Holborn and St Pancras,Open,
134643,Camden,CCfL Key Stage 3 PRU,528612,184451,Pupil Referral Unit,Not applicable,40.2,Yes,Holborn and St Pancras,Open,
102120,Haringey,Tiverton Primary School,532741,188181,Community School,Primary,40.2,Yes,Tottenham,Open,
100431,Islington,Highbury Quadrant Primary School,532387,185620,Community School,Primary,40.2,Yes,Islington North,Open,
131911,Ealing,Leap Service -  the National Autistics Society,519700,179954,Miscellaneous,Not applicable,40.2,Yes,Ealing Central and Acton,Open,
134597,Ealing,Ealing Primary Centre,514849,183439,Pupil Referral Unit,Not applicable,40.2,Yes,Ealing North,Open,
141027,Merton,Park Community School,525784,169236,Free Schools,Primary,40.2,Yes,Wimbledon,Open,
100808,Southwark,Riverside Primary School,534423,179618,Community School,Primary,40.1,Yes,Bermondsey and Old Southwark,Open,
100695,Lewisham,Lucas Vale Primary School,537042,176596,Community School,Primary,40.1,Yes,"Lewisham, Deptford",Open,
101089,Wandsworth,Northcote Lodge School,527584,174151,Other Independent School,Not applicable,40.1,Yes,Battersea,Open,
135614,Lambeth,Iqra Primary School,529997,174534,Voluntary Aided School,Primary,40.1,Yes,Streatham,Open,
100402,Islington,Drayton Park Primary School,531433,185329,Community School,Primary,40.1,Yes,Islington North,Open,
139824,Westminster,Wilberforce Primary,524383,182958,Academy Sponsor Led,Primary,40.1,Yes,Westminster North,Open,
100200,Greenwich,Riverston School,540433,174828,Other Independent School,Not applicable,40.1,Yes,Eltham,Open,
102728,Newham,Lathom Junior School,542505,184073,Community School,Primary,40.1,Yes,East Ham,Open,
101067,Wandsworth,Hurlingham School,524512,175308,Other Independent School,Not applicable,40.1,Yes,Putney,Open,
131608,Tower Hamlets,The Cherry Trees School,537437,182567,Community Special School,Not applicable,40.1,Yes,Poplar and Limehouse,Open,
101087,Wandsworth,Lion House School,523592,175152,Other Independent School,Not applicable,40.1,Yes,Putney,Open,
100675,Lewisham,Childeric Primary School,536358,177160,Community School,Primary,40.1,Yes,"Lewisham, Deptford",Open,
130998,Barnet,Hasmonean Primary School,523711,188555,Voluntary Aided School,Primary,40.1,Yes,Hendon,Open,
102472,Hounslow,Cavendish Primary School,521106,177281,Community School,Primary,40.1,Yes,Brentford and Isleworth,Open,
136327,Enfield,Kingsmead School,534226,196459,Academy Converter,Secondary,40.1,Yes,Enfield North,Open,
100169,Lewisham,St Joseph's Catholic Primary School,537224,177395,Voluntary Aided School,Primary,40,No,Greenwich and Woolwich,Open,
100936,Tower Hamlets,Hermitage Primary School,534344,180251,Community School,Primary,40,No,Poplar and Limehouse,Open,
100372,Hammersmith and Fulham,Al-Muntada Islamic School,524991,176794,Other Independent School,Not applicable,40,No,Chelsea and Fulham,Open,
100530,Wandsworth,Thomas's Battersea,526893,176621,Other Independent School,Not applicable,40,No,Battersea,Open,
100130,Greenwich,Halstow Primary School,540019,178163,Community School,Primary,40,No,Greenwich and Woolwich,Open,
131291,Camden,The Academy School,526729,185626,Other Independent School,Not applicable,40,No,Hampstead and Kilburn,Open,
134668,Hounslow,Heathfield House School,520332,178281,Other Independent School,Not applicable,40,No,Brentford and Isleworth,Open,
100408,Islington,Hargrave Park Primary School,529016,186684,Community School,Primary,40,No,Islington North,Open,
131770,Croydon,Maple House School,532292,168458,Other Independent School,Not applicable,40,No,Croydon North,Open,
102056,Enfield,Broomfield School,529904,192375,Foundation School,Secondary,40,No,"Enfield, Southgate",Open,
131970,Barnet,The Orion Primary School,521550,191400,Community School,Primary,40,No,Hendon,Open,
100111,Greenwich,Millennium Primary School,539725,179099,Community School,Primary,39.9,No,Greenwich and Woolwich,Closed,8/31/2016
131628,Redbridge,Winston Way Primary School,544347,186548,Community School,Primary,39.9,No,Ilford South,Closed,12/31/2016
100264,Hackney,Our Lady and St Joseph Roman Catholic Primary School,533335,184592,Voluntary Aided School,Primary,39.9,No,Hackney South and Shoreditch,Open,
100943,Tower Hamlets,William Davis Primary School,534185,182356,Community School,Primary,39.9,No,Bethnal Green and Bow,Open,
100449,Islington,St Joan of Arc RC Primary School,532024,185906,Voluntary Aided School,Primary,39.9,No,Islington North,Open,
100425,Islington,Thornhill Primary School,531173,184131,Community School,Primary,39.9,No,Islington South and Finsbury,Open,
101547,Brent,Our Lady of Grace RC Infant and Nursery School,523176,186533,Voluntary Aided School,Primary,39.9,No,Brent Central,Open,
137093,Lambeth,Dunraven School,530821,172106,Academy Converter,All Through,39.9,No,Streatham,Open,
100916,Tower Hamlets,Olga Primary School,536311,183145,Community School,Primary,39.9,No,Bethnal Green and Bow,Open,
133584,Lambeth,Loughborough Primary School,531716,176212,Community School,Primary,39.9,No,Dulwich and West Norwood,Open,
130452,Newham,Newham Sixth Form College,540937,182308,Further Education,16 Plus,39.9,No,West Ham,Open,
100229,Hackney,Lauriston School,535636,183779,Community School,Primary,39.9,No,Hackney South and Shoreditch,Open,
100980,Tower Hamlets,Gatehouse School,535583,183278,Other Independent School,Not applicable,39.9,No,Bethnal Green and Bow,Open,
101932,Ealing,Acton High School,519461,179847,Community School,Secondary,39.9,No,Ealing Central and Acton,Open,
100287,Hackney,Yesodey Hatorah School,533530,187905,Other Independent School,Not applicable,39.9,No,Hackney North and Stoke Newington,Open,
101521,Brent,The Stonebridge School,520512,183840,Community School,Primary,39.9,No,Brent Central,Open,
101941,Ealing,The Ellen Wilkinson School for Girls,518894,181164,Foundation School,Secondary,39.9,No,Ealing Central and Acton,Open,
139925,Harrow,The Jubilee Academy,515207,188019,Free Schools - Alternative Provision,Not applicable,39.9,No,Harrow West,Open,
101573,Brent,"Ysgol Gymraeg Llundain, The Welsh School London",520512,183840,Other Independent School,Not applicable,39.9,No,Ealing North,Open,
101079,Wandsworth,Bertrum House School,528098,172561,Other Independent School,Not applicable,39.8,No,Tooting,Closed,8/31/2016
102647,Merton,Singlegate Primary School,526898,170310,Community School,Primary,39.8,No,Mitcham and Morden,Open,
100923,Tower Hamlets,Stewart Headlam Primary School,534719,182243,Community School,Primary,39.8,No,Bethnal Green and Bow,Open,
135531,Kensington and Chelsea,Chelsea Academy,526279,177011,Academy Sponsor Led,Secondary,39.8,No,Chelsea and Fulham,Open,
100823,Southwark,Dulwich Village Church of England Infants' School,533016,174251,Voluntary Aided School,Primary,39.8,No,Dulwich and West Norwood,Open,
100937,Tower Hamlets,Bangabandhu Primary School,535234,182582,Community School,Primary,39.8,No,Bethnal Green and Bow,Open,
100059,Camden,La Sainte Union Catholic Secondary School,528379,186191,Voluntary Aided School,Secondary,39.8,No,Holborn and St Pancras,Open,
100620,Lambeth,St Saviour's Church of England Primary School,532228,175575,Voluntary Aided School,Primary,39.8,No,Dulwich and West Norwood,Open,
101017,Wandsworth,Ravenstone Primary School,528424,173004,Community School,Primary,39.8,No,Tooting,Open,
100973,Tower Hamlets,Swanlea School,534690,181987,Community School,Secondary,39.7,No,Bethnal Green and Bow,Open,
100532,Kensington and Chelsea,Instituto Espanol Canada Blanch,524369,181680,Other Independent School,Not applicable,39.7,No,Kensington,Open,
100479,Kensington and Chelsea,Bevington Primary School,524414,181794,Community School,Primary,39.7,No,Kensington,Open,
100091,Camden,Frank Barnes School for Deaf Children,530000,183795,Community Special School,Not applicable,39.7,No,Holborn and St Pancras,Open,
100346,Hammersmith and Fulham,John Betts Primary School,522568,179018,Voluntary Aided School,Primary,39.7,No,Hammersmith,Open,
100064,Camden,The Hall School,526932,184533,Other Independent School,Not applicable,39.7,No,Hampstead and Kilburn,Open,
